ID	ORTHOGROUP	ID_ORTHOGROUP	AMBIGUOUS	query_length	subject_length	alignment_length	perc_identity	q_start	q_end	s_start	s_end	evalue	bit_score	score	query_id	LG	start	end	gene	subject_id	Accession	APG.IV.Order	APG.IV.Family	Species	Author	Locus	Gene_Models	GO_terms	Annotations
6424	6947	6424_6947	NA	1049	3356	643	78.072	1	619	3154	2520	3.54e-104	377	204	NC_033804.1_LG_01_1619816_1620039_ID_6424	01	1619816	1620039	LOC109795066	P03-03G-6947	P03-03G	Huerteales	Gerrardinaceae	Gerrardina foliosa	Oliv.	AT1G24340	2032482 || 2032481	AT1G24340 || AT1G24340.1	monooxygenase activity | FAD binding | embryo development ending in seed dormancy||cytoplasm
438	7174	438_7174	NA	940	2975	678	87.168	121	797	1385	2049	0	758	410	NC_033804.1_LG_01_17221885_17222134_ID_438	01	17221885	17222134	LOC109797503	P03-10G-7174	P03-10G	Fabales	Fabaceae	Gilbertiodendron ecoukense	(Pellegr.) Burgt	AT1G59990	2202730 || 2202729	AT1G59990 || AT1G59990.1	ATP-dependent RNA helicase activity | ATP binding | RNA binding | ATP-dependent helicase activity | RNA secondary structure unwinding | nucleolus | helicase activity | nucleic acid binding||chloroplast
7931	4992	7931_4992	NA	1203	4564	719	86.509	1	698	3200	3907	0	761	412	NC_033806.1_LG_03_25854810_25855035_ID_7931	03	25854810	25855035	LOC109796192	P03-10G-4992	P03-10G	Fabales	Fabaceae	Gilbertiodendron ecoukense	(Pellegr.) Burgt	AT2G47980	2043318 || 3437510	AT2G47980 || AT2G47980.1	meiotic sister chromatid cohesion, centromeric | chromosome | protein binding | cell division | mitotic cell cycle | nucleus | attachment of spindle microtubules to kinetochore involved in homologous chromosome segregation||nucleus
1361	5551	1361_5551	NA	1077	1910	392	86.48	377	766	1407	1794	1.28e-118	425	230	NC_033805.1_LG_02_6607810_6607909_ID_1361	02	6607810	6607909	LOC109789706	P03-10G-5551	P03-10G	Fabales	Fabaceae	Gilbertiodendron ecoukense	(Pellegr.) Burgt	AT3G21110	2092975 || 1009021867 || 2092974	AT3G21110 || AT3G21110.2 || AT3G21110.1	phosphoribosylaminoimidazolesuccinocarboxamide synthase activity | response to auxin | 'de novo' IMP biosynthetic process | purine nucleotide biosynthetic process | ATP binding||chloroplast||chloroplast | chloroplast stroma
992	4932	992_4932	NA	1557	2123	1334	85.907	41	1373	43	1344	0	1391	753	NC_033813.1_LG_10_9357551_9357854_ID_992	10	9357551	9357854	LOC109805739	P03-10G-4932	P03-10G	Fabales	Fabaceae	Gilbertiodendron ecoukense	(Pellegr.) Burgt	AT2G31955	2827337	AT2G31955	GTP 3',8'-cyclase activity | catalytic activity | 4 iron, 4 sulfur cluster binding | metal ion binding | GTP binding | mitochondrial matrix | Mo-molybdopterin cofactor biosynthetic process | mitochondrion | chloroplast | molybdopterin synthase complex
4912	5489	4912_5489	NA	1104	3244	818	77.751	4	803	850	82	4.69e-123	440	238	NC_033805.1_LG_02_27053272_27053495_ID_4912	02	27053272	27053495	LOC109793241	P03-10G-5489	P03-10G	Fabales	Fabaceae	Gilbertiodendron ecoukense	(Pellegr.) Burgt	AT5G16260	2181452 || 2181451	AT5G16260 || AT5G16260.1	U2 snRNP | RNA binding | nucleus | U2-type spliceosomal complex | mRNA splicing, via spliceosome | negative regulation of flower development | mRNA binding | nuclear-transcribed mRNA catabolic process, nonsense-mediated decay||cytosol | nucleus
6063	6500	6063_6500	NA	1923	2635	623	90.53	1223	1839	667	51	0	813	440	NC_033811.1_LG_08_12386509_12386758_ID_6063.m	08	12386509	12386758	LOC109804536	P03-10G-6500	P03-10G	Fabales	Fabaceae	Gilbertiodendron ecoukense	(Pellegr.) Burgt	AT2G20330	2038951 || 2038952	AT2G20330.1 || AT2G20330	cytoplasm||Cul4-RING E3 ubiquitin ligase complex | nucleotide binding | biological_process_unknown
5545	5599	5545_5599	NA	1914	5682	1283	84.334	206	1455	5662	4400	0	1206	653	NC_033809.1_LG_06_18942144_18942395_ID_5545.m	06	18942144	18942395	LOC109800202	P03-10G-5599	P03-10G	Fabales	Fabaceae	Gilbertiodendron ecoukense	(Pellegr.) Burgt	AT3G51050	2080988 || 2080987	AT3G51050 || AT3G51050.1	integral component of membrane | cell-matrix adhesion | molecular_function_unknown | endoplasmic reticulum | integrin complex||vacuolar membrane | Golgi apparatus | mitochondrion
3592	6216	3592_6216	NA	1012	2600	596	82.215	251	829	608	26	5.43e-137	486	263	NC_033814.1_LG_11_536241_536340_ID_3592	11	536241	536340	LOC109807773	P03-10G-6216	P03-10G	Fabales	Fabaceae	Gilbertiodendron ecoukense	(Pellegr.) Burgt	AT1G73060	2032661 || 2032662	AT1G73060.1 || AT1G73060	chloroplast | chloroplast stroma||chloroplast thylakoid membrane | proplastid stroma | photosystem II assembly | response to cytokinin | molecular_function_unknown
1341	6494	1341_6494	NA	1191	3207	373	89.812	383	744	2900	2529	2.32e-131	468	253	NC_033809.1_LG_06_9720513_9720903_ID_1341	06	9720513	9720903	LOC109800905	P03-10G-6494	P03-10G	Fabales	Fabaceae	Gilbertiodendron ecoukense	(Pellegr.) Burgt	AT1G49380	2010267 || 2010266	AT1G49380 || AT1G49380.1	molecular_function_unknown | integral component of membrane | cytochrome complex assembly | chloroplast thylakoid membrane||chloroplast
2277	6439	2277_6439	NA	1097	748	381	88.451	467	846	412	35	4.62e-128	457	247	NC_033814.1_LG_11_45181320_45181555_ID_2277	11	45181320	45181555	LOC109809809	P03-10G-6439	P03-10G	Fabales	Fabaceae	Gilbertiodendron ecoukense	(Pellegr.) Burgt	AT4G33460	2119186 || 2119185 || 2088182 || 2088181	AT4G33460 || AT4G33460.1 || AT3G13970 || AT3G13970.1	transport | embryo development ending in seed dormancy | ATP binding | ATPase activity | transporter activity||chloroplast envelope | chloroplast||Atg12-Atg5-Atg16 complex | autophagosome assembly | C-terminal protein lipidation | autophagy of mitochondrion | cytoplasm | autophagy of nucleus | autophagy | Atg8 ligase activity | protein transport | pre-autophagosomal structure membrane||chloroplast
3930	6933	3930_6933	NA	1149	665	514	84.63	506	1015	533	38	1.33e-138	492	266	NC_033811.1_LG_08_18569214_18569451_ID_3930	08	18569214	18569451	LOC109803623	P03-10G-6933	P03-10G	Fabales	Fabaceae	Gilbertiodendron ecoukense	(Pellegr.) Burgt	AT5G25480	2179469 || 2179468	AT5G25480 || AT5G25480.1	DNA binding | DNA methylation||nucleus
7846	5922	7846_5922	NA	1160	4074	519	88.439	353	854	323	836	4.59e-173	606	328	NW_017984126.1_S000020_140031_140276_ID_7846	Scaffold000020	140031	140276	LOC109813404	P03-10G-5922	P03-10G	Fabales	Fabaceae	Gilbertiodendron ecoukense	(Pellegr.) Burgt	AT3G12080	2099276 || 2099277 || 4010712539	AT3G12080.1 || AT3G12080 || AT3G12080.2	chloroplast | mitochondrion||GTP binding | transcription from plastid promoter | embryo development ending in seed dormancy | chloroplast||chloroplast
1673	6528	1673_6528	NA	1120	469	365	87.945	437	798	372	9	3.7e-119	427	231	NC_033814.1_LG_11_41372702_41372943_ID_1673	11	41372702	41372943	LOC109808293	P03-10G-6528	P03-10G	Fabales	Fabaceae	Gilbertiodendron ecoukense	(Pellegr.) Burgt	AT5G57040	2164600 || 2164599	AT5G57040 || AT5G57040.1	lyase activity | catalytic activity||chloroplast
1873	5943	1873_5943	NA	907	3093	347	94.524	285	631	353	8	1.71e-151	534	289	NW_017984075.1_S137204_850439_850538_ID_1873	Scaffold137204	850439	850538	LOC109811246	P03-10G-5943	P03-10G	Fabales	Fabaceae	Gilbertiodendron ecoukense	(Pellegr.) Burgt	AT2G38020	2065674	AT2G38020	lysosomal membrane | vacuole organization | endosomal transport | HOPS complex | regulation of vacuole fusion, non-autophagic | intracellular protein transport | regulation of SNARE complex assembly | late endosome membrane | actin binding | plant-type vacuole membrane | protein complex | endosome
