ID	ORTHOGROUP	ID_ORTHOGROUP	AMBIGUOUS	query_length	subject_length	alignment_length	perc_identity	q_start	q_end	s_start	s_end	evalue	bit_score	score	query_id	LG	start	end	gene	subject_id	Accession	APG.IV.Order	APG.IV.Family	Species	Author	Locus	Gene_Models	GO_terms	Annotations
125	6859	125_6859	NA	977	3177	425	78.588	273	685	1498	1905	5.78e-67	254	137	NC_033804.1_LG_01_12064380_12064629_ID_125	01	12064380	12064629	LOC109803250	P01-07G-6859	P01-07G	Berberidopsidales	Berberidopsidaceae	Berberidopsis beckleri	(F.Muell.) Veldkamp	AT3G13450	2193889 || 2193888 || 2092835 || 2092834	AT1G55510 || AT1G55510.1 || AT3G13450 || AT3G13450.1	3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring) activity | oxidation-reduction process | mitochondrial matrix||mitochondrion||response to absence of light | 3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring) activity | response to sucrose | cellular response to sucrose starvation | response to light stimulus | mitochondrial matrix | oxidation-reduction process
125	6859	125_6859	NA	977	3177	425	78.588	273	685	1498	1905	5.78e-67	254	137	NC_033804.1_LG_01_12064380_12064629_ID_125	01	12064380	12064629	LOC109803250	P01-07G-6859	P01-07G	Berberidopsidales	Berberidopsidaceae	Berberidopsis beckleri	(F.Muell.) Veldkamp	AT1G55510	2193889 || 2193888 || 2092835 || 2092834	AT1G55510 || AT1G55510.1 || AT3G13450 || AT3G13450.1	3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring) activity | oxidation-reduction process | mitochondrial matrix||mitochondrion||response to absence of light | 3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring) activity | response to sucrose | cellular response to sucrose starvation | response to light stimulus | mitochondrial matrix | oxidation-reduction process
2232	5849	2232_5849	ID	875	1442	144	90.972	368	511	952	1094	1.14e-48	193	104	NC_033804.1_LG_01_12912528_12912634_ID_2232	01	12912528	12912634	LOC109797137	P01-07G-5849	P01-07G	Berberidopsidales	Berberidopsidaceae	Berberidopsis beckleri	(F.Muell.) Veldkamp	AT2G37680	2040760	AT2G37680.1	nucleus
6716	5849	6716_5849	ID	1047	1442	164	88.415	425	588	328	165	2.95e-50	198	107	NC_033804.1_LG_01_12914001_12914100_ID_6716	01	12914001	12914100	LOC109797137	P01-07G-5849	P01-07G	Berberidopsidales	Berberidopsidaceae	Berberidopsis beckleri	(F.Muell.) Veldkamp	AT2G37680	2040760	AT2G37680.1	nucleus
8261	5945	8261_5945	NA	917	2856	262	84.351	370	629	2000	2260	5.42e-67	254	137	NC_033804.1_LG_01_17073894_17074137_ID_8261	01	17073894	17074137	LOC109797362	P01-07G-5945	P01-07G	Berberidopsidales	Berberidopsidaceae	Berberidopsis beckleri	(F.Muell.) Veldkamp	AT5G06360	2164245 || 2164244	AT5G06360 || AT5G06360.1	ribosome | translation | ribosome biogenesis | structural constituent of ribosome||nucleus
3661	4527	3661_4527	NA	1694	3197	570	84.737	264	832	1871	1302	8.85e-162	569	308	NC_033805.1_LG_02_25555111_25555431_ID_3661	02	25555111	25555431	LOC109808067	P01-07G-4527	P01-07G	Berberidopsidales	Berberidopsidaceae	Berberidopsis beckleri	(F.Muell.) Veldkamp	AT1G09830	2024320 || 2024321	AT1G09830.1 || AT1G09830	chloroplast | chloroplast stroma||phosphoribosylamine-glycine ligase activity | purine nucleotide biosynthetic process | ATP binding | 'de novo' IMP biosynthetic process | purine nucleobase biosynthetic process | metal ion binding
1126	5502	1126_5502	NA	988	839	506	80.435	452	941	287	773	5.6e-97	353	191	NC_033804.1_LG_01_14524196_14524295_ID_1126	01	14524196	14524295	LOC109803313	P03-10G-5502	P03-10G	Fabales	Fabaceae	Gilbertiodendron ecoukense	(Pellegr.) Burgt	AT2G45270	2050872 || 2050871	AT2G45270 || AT2G45270.1	proteolysis | tRNA threonylcarbamoyladenosine modification | N(6)-L-threonylcarbamoyladenine synthase | embryo development | mitochondrial inner membrane | metal ion binding | EKC/KEOPS complex | metalloendopeptidase activity||chloroplast
2664	6216	2664_6216	ID	864	2600	253	80.237	415	663	1929	2175	2.44e-45	182	98	NC_033814.1_LG_11_538818_538917_ID_2664	11	538818	538917	LOC109807773	P03-10G-6216	P03-10G	Fabales	Fabaceae	Gilbertiodendron ecoukense	(Pellegr.) Burgt	AT1G73060	2032661 || 2032662	AT1G73060.1 || AT1G73060	chloroplast | chloroplast stroma||chloroplast thylakoid membrane | proplastid stroma | photosystem II assembly | response to cytokinin | molecular_function_unknown
2665	5702	2665_5702	NA	1023	2508	516	78.295	113	607	591	82	4.59e-83	307	166	NC_033804.1_LG_01_13193872_13193971_ID_2665	01	13193872	13193971	LOC109796212	P03-10G-5702	P03-10G	Fabales	Fabaceae	Gilbertiodendron ecoukense	(Pellegr.) Burgt	AT2G01350	2038790 || 2038791 || 4010712176 || 4010712175 || 1006227998	AT2G01350.1 || AT2G01350 || AT2G01350.4 || AT2G01350.3 || AT2G01350.2	chloroplast||NAD biosynthetic process | nicotinate-nucleotide diphosphorylase (carboxylating) activity | quinolinate catabolic process | chloroplast
438	7174	438_7174	NA	1060	2975	433	85.219	366	796	1509	1935	1.62e-122	438	237	NC_033804.1_LG_01_17221885_17222134_ID_438	01	17221885	17222134	LOC109797503	P03-10G-7174	P03-10G	Fabales	Fabaceae	Gilbertiodendron ecoukense	(Pellegr.) Burgt	AT1G59990	2202730 || 2202729	AT1G59990 || AT1G59990.1	ATP-dependent RNA helicase activity | ATP binding | RNA binding | ATP-dependent helicase activity | RNA secondary structure unwinding | nucleolus | helicase activity | nucleic acid binding||chloroplast
6757	6947	6757_6947	ID	1123	2181	957	77.952	201	1123	294	1222	1.27e-153	542	293	NC_033804.1_LG_01_1615882_1616123_ID_6757	01	1615882	1616123	LOC109795066	P03-10G-6947	P03-10G	Fabales	Fabaceae	Gilbertiodendron ecoukense	(Pellegr.) Burgt	AT1G24340	2032482 || 2032481	AT1G24340 || AT1G24340.1	monooxygenase activity | FAD binding | embryo development ending in seed dormancy||cytoplasm
3930	6933	3930_6933	NA	1115	665	130	92.308	469	597	404	533	8.81e-46	183	99	NC_033811.1_LG_08_18569214_18569451_ID_3930	08	18569214	18569451	LOC109803623	P03-10G-6933	P03-10G	Fabales	Fabaceae	Gilbertiodendron ecoukense	(Pellegr.) Burgt	AT5G25480	2179469 || 2179468	AT5G25480 || AT5G25480.1	DNA binding | DNA methylation||nucleus
1678	5434	1678_5434	NA	953	917	602	90.698	1	602	743	142	0	802	434	NC_033805.1_LG_02_2024834_2025067_ID_1678	02	2024834	2025067	LOC109795436	P03-10G-5434	P03-10G	Fabales	Fabaceae	Gilbertiodendron ecoukense	(Pellegr.) Burgt	AT5G50960	2157328 || 2157327	AT5G50960 || AT5G50960.1	metal ion binding | protein homodimerization activity | cytosol | nucleotide binding | iron-sulfur cluster assembly | 4 iron, 4 sulfur cluster binding | ATP binding | iron-sulfur cluster binding||nucleus
3558	4992	3558_4992	NA	2037	4564	1587	79.521	366	1880	775	2346	0	1050	568	NC_033806.1_LG_03_25850741_25850968_ID_3558.m	03	25850741	25850968	LOC109796192	P03-10G-4992	P03-10G	Fabales	Fabaceae	Gilbertiodendron ecoukense	(Pellegr.) Burgt	AT2G47980	2043318 || 3437510	AT2G47980 || AT2G47980.1	meiotic sister chromatid cohesion, centromeric | chromosome | protein binding | cell division | mitotic cell cycle | nucleus | attachment of spindle microtubules to kinetochore involved in homologous chromosome segregation||nucleus
1264	6909	1264_6909	NA	940	1222	215	81.86	1	214	1010	802	4.45e-43	174	94	NC_033804.1_LG_01_4660409_4660508_ID_1264	01	4660409	4660508	LOC109798416	P03-10G-6909	P03-10G	Fabales	Fabaceae	Gilbertiodendron ecoukense	(Pellegr.) Burgt	AT1G02410	2204838 || 2204837	AT1G02410 || AT1G02410.1	post-embryonic root morphogenesis | mitochondrial inner membrane | pollen germination | protein self-association | positive regulation of cytochrome-c oxidase activity | mitochondrion | copper ion binding | integral component of mitochondrial membrane | biological_process_unknown||chloroplast
1311	6507	1311_6507	NA	1015	664	284	77.113	708	970	188	468	1.36e-33	143	77	NC_033814.1_LG_11_32776822_32777055_ID_1311	11	32776822	32777055	LOC109808749	P03-10G-6507	P03-10G	Fabales	Fabaceae	Gilbertiodendron ecoukense	(Pellegr.) Burgt	AT3G59630	2097513 || 2097512	AT3G59630 || AT3G59630.1	peptidyl-diphthamide biosynthetic process from peptidyl-histidine | molecular_function_unknown||cytoplasm
7110	5034	7110_5034	NA	974	1049	159	87.421	816	974	60	217	2.76e-45	182	98	NC_033805.1_LG_02_27467700_27467919_ID_7110	02	27467700	27467919	LOC109790366	P03-10G-5034	P03-10G	Fabales	Fabaceae	Gilbertiodendron ecoukense	(Pellegr.) Burgt	AT5G38520	2159822 || 2159823 || 4010713249	AT5G38520.1 || AT5G38520 || AT5G38520.2	chloroplast thylakoid | chloroplast envelope | chloroplast||chloroplast thylakoid | chloroplast | hydrolase activity | chlorophyllase activity | chlorophyll metabolic process||chloroplast
5145	5333	5145_5333	NA	1269	2016	823	84.447	1	821	1077	1897	0	808	437	NC_033805.1_LG_02_36186666_36186907_ID_5145	02	36186666	36186907	LOC109814245	P03-10G-5333	P03-10G	Fabales	Fabaceae	Gilbertiodendron ecoukense	(Pellegr.) Burgt	AT5G13680	2173199 || 2173198	AT5G13680 || AT5G13680.1	nucleus | positive regulation of cell proliferation | auxin-activated signaling pathway | tRNA modification | regulation of abscisic acid-activated signaling pathway | leaf morphogenesis | cell proliferation | fruit morphogenesis | 5-carbamoylmethyl uridine residue modification | organ growth | cellular response to abscisic acid stimulus | transcription, DNA-templated | transferase activity, transferring acyl groups | regulation of transcription, DNA-templated | abscisic acid-activated signaling pathway | response to oxidative stress | regulation of DNA-templated transcription, elongation | negative regulation of anthocyanin metabolic process | tRNA wobble uridine modification | regulation of leaf development | Elongator holoenzyme complex | response to abscisic acid | regulation of auxin mediated signaling pathway||nucleus | cytosol
1361	5551	1361_5551	NA	978	1910	359	79.666	396	745	1411	1761	1.25e-63	243	131	NC_033805.1_LG_02_6607810_6607909_ID_1361	02	6607810	6607909	LOC109789706	P03-10G-5551	P03-10G	Fabales	Fabaceae	Gilbertiodendron ecoukense	(Pellegr.) Burgt	AT3G21110	2092975 || 1009021867 || 2092974	AT3G21110 || AT3G21110.2 || AT3G21110.1	phosphoribosylaminoimidazolesuccinocarboxamide synthase activity | response to auxin | 'de novo' IMP biosynthetic process | purine nucleotide biosynthetic process | ATP binding||chloroplast||chloroplast | chloroplast stroma
8004	4471	8004_4471	NA	984	2794	160	88.75	826	984	429	272	1.29e-48	193	104	NC_033809.1_LG_06_18856411_18856510_ID_8004	06	18856411	18856510	LOC109800121	P03-10G-4471	P03-10G	Fabales	Fabaceae	Gilbertiodendron ecoukense	(Pellegr.) Burgt	AT4G36400	2115230 || 1006228751 || 2115229	AT4G36400 || AT4G36400.2 || AT4G36400.1	FAD binding | nitrogen compound metabolic process | (R)-2-hydroxyglutarate dehydrogenase activity | photorespiration | 2-hydroxyglutarate dehydrogenase activity | oxidation-reduction process | respiratory electron transport chain | electron transfer activity | D-lactate dehydrogenase (cytochrome) activity | lactate oxidation||mitochondrion
391	5406	391_5406	NA	1148	3305	391	87.98	737	1127	1233	843	1.04e-129	462	250	NW_017984295.1_S125806_159694_159933_ID_391	Scaffold125806	159694	159933	LOC109817295	P03-10G-5406	P03-10G	Fabales	Fabaceae	Gilbertiodendron ecoukense	(Pellegr.) Burgt	AT1G03190	2014525 || 2014524 || 1005715665	AT1G03190 || AT1G03190.1 || AT1G03190.2	metal ion binding | protein binding | nucleus | response to UV | DNA binding | 4 iron, 4 sulfur cluster binding | regulation of transcription, DNA-templated | DNA repair | ATP-dependent DNA helicase activity | nucleotide-excision repair | transcription, DNA-templated | response to heat | ATP binding||nucleus
1460	6500	1460_6500	ID	1217	2635	881	84.109	1	864	1560	2427	0	824	446	NC_033811.1_LG_08_12385032_12385497_ID_1460	08	12385032	12385497	LOC109804536	P03-10G-6500	P03-10G	Fabales	Fabaceae	Gilbertiodendron ecoukense	(Pellegr.) Burgt	AT2G20330	2038951 || 2038952	AT2G20330.1 || AT2G20330	cytoplasm||Cul4-RING E3 ubiquitin ligase complex | nucleotide binding | biological_process_unknown
8103	5919	8103_5919	NA	1123	775	486	86.626	419	903	52	537	5.91e-152	536	290	NC_033806.1_LG_03_1284449_1284748_ID_8103	03	1284449	1284748	LOC109797328	P03-10G-5919	P03-10G	Fabales	Fabaceae	Gilbertiodendron ecoukense	(Pellegr.) Burgt	AT1G01290	2035277	AT1G01290	mitochondrion | mitochondrial matrix | Mo-molybdopterin cofactor biosynthetic process | cyclic pyranopterin monophosphate synthase activity | catalytic activity | chloroplast
4188	5913	4188_5913	ID	1500	2037	565	85.487	52	610	50	608	1.3e-164	579	313	NC_033806.1_LG_03_13826580_13826801_ID_4188.m	03	13826580	13826801	LOC109796803	P03-10G-5913	P03-10G	Fabales	Fabaceae	Gilbertiodendron ecoukense	(Pellegr.) Burgt	AT1G05055	504956103 || 504953951	AT1G05055 || AT1G05055.1	transcription, DNA-templated | core TFIIH complex | nucleotide-excision repair | holo TFIIH complex | zinc ion binding | nucleic acid binding | regulation of transcription from RNA polymerase II promoter||nucleus
8136	5943	8136_5943	ID	1563	3093	194	88.66	955	1148	2183	1990	9.39e-62	237	128	NW_017984075.1_S137204_855742_855841_ID_8136.m	Scaffold137204	855742	855841	LOC109811246	P03-10G-5943	P03-10G	Fabales	Fabaceae	Gilbertiodendron ecoukense	(Pellegr.) Burgt	AT2G38020	2065674	AT2G38020	lysosomal membrane | vacuole organization | endosomal transport | HOPS complex | regulation of vacuole fusion, non-autophagic | intracellular protein transport | regulation of SNARE complex assembly | late endosome membrane | actin binding | plant-type vacuole membrane | protein complex | endosome
6640	6652	6640_6652	NA	1000	1933	320	88.125	366	685	133	451	9.36e-105	379	205	NW_017984088.1_S000380_425232_425432_ID_6640	Scaffold000380	425232	425432	LOC109811932	P03-10G-6652	P03-10G	Fabales	Fabaceae	Gilbertiodendron ecoukense	(Pellegr.) Burgt	AT1G16900	2015601	AT1G16900	oligosaccharide-lipid intermediate biosynthetic process | dol-P-Man:Man(6)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase activity | carbohydrate binding | integral component of membrane | transferase activity, transferring glycosyl groups | alpha-1,2-mannosyltransferase activity | protein glycosylation | endoplasmic reticulum | GDP-Man:Man3GlcNAc2-PP-Dol alpha-1,2-mannosyltransferase activity | dol-P-Man:Man(8)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase activity | ubiquitin-dependent ERAD pathway | kinase activity | endoplasmic reticulum membrane | phosphorylation
